instance_id,n,p,replicate,method,step,alpha,alpha_left,alpha_right,beta,beta_left,beta_right
ER_n006_p010_r00,6,0.1,0,baseline,0,0.0,,0.0,1.0,,1.0
ER_n006_p010_r00,6,0.1,0,baseline,1,0.01,0.0,0.01,0.99,1.0,0.99
ER_n006_p010_r00,6,0.1,0,baseline,2,0.02,0.01,0.02,0.98,0.99,0.98
ER_n006_p010_r00,6,0.1,0,baseline,3,0.03,0.02,0.03,0.97,0.98,0.97
ER_n006_p010_r00,6,0.1,0,baseline,4,0.04,0.03,0.04,0.96,0.97,0.96
ER_n006_p010_r00,6,0.1,0,baseline,5,0.05,0.04,0.05,0.95,0.96,0.95
ER_n006_p010_r00,6,0.1,0,baseline,6,0.06,0.05,0.06,0.94,0.95,0.94
ER_n006_p010_r00,6,0.1,0,baseline,7,0.07,0.06,0.07,0.9299999999999999,0.94,0.9299999999999999
ER_n006_p010_r00,6,0.1,0,baseline,8,0.08,0.07,0.08,0.92,0.9299999999999999,0.92
ER_n006_p010_r00,6,0.1,0,baseline,9,0.09,0.08,0.09,0.91,0.92,0.91
ER_n006_p010_r00,6,0.1,0,baseline,10,0.1,0.09,0.1,0.9,0.91,0.9
ER_n006_p010_r00,6,0.1,0,baseline,11,0.11,0.1,0.11,0.89,0.9,0.89
ER_n006_p010_r00,6,0.1,0,baseline,12,0.12,0.11,0.12,0.88,0.89,0.88
ER_n006_p010_r00,6,0.1,0,baseline,13,0.13,0.12,0.13,0.87,0.88,0.87
ER_n006_p010_r00,6,0.1,0,baseline,14,0.14,0.13,0.14,0.86,0.87,0.86
ER_n006_p010_r00,6,0.1,0,baseline,15,0.15,0.14,0.15,0.85,0.86,0.85
ER_n006_p010_r00,6,0.1,0,baseline,16,0.16,0.15,0.16,0.84,0.85,0.84
ER_n006_p010_r00,6,0.1,0,baseline,17,0.17,0.16,0.17,0.83,0.84,0.83
ER_n006_p010_r00,6,0.1,0,baseline,18,0.18,0.17,0.18,0.8200000000000001,0.83,0.8200000000000001
ER_n006_p010_r00,6,0.1,0,baseline,19,0.19,0.18,0.19,0.81,0.8200000000000001,0.81
ER_n006_p010_r00,6,0.1,0,baseline,20,0.2,0.19,0.2,0.8,0.81,0.8
ER_n006_p010_r00,6,0.1,0,baseline,21,0.21,0.2,0.21,0.79,0.8,0.79
ER_n006_p010_r00,6,0.1,0,baseline,22,0.22,0.21,0.22,0.78,0.79,0.78
ER_n006_p010_r00,6,0.1,0,baseline,23,0.23,0.22,0.23,0.77,0.78,0.77
ER_n006_p010_r00,6,0.1,0,baseline,24,0.24,0.23,0.24,0.76,0.77,0.76
ER_n006_p010_r00,6,0.1,0,baseline,25,0.25,0.24,0.25,0.75,0.76,0.75
ER_n006_p010_r00,6,0.1,0,baseline,26,0.26,0.25,0.26,0.74,0.75,0.74
ER_n006_p010_r00,6,0.1,0,baseline,27,0.27,0.26,0.27,0.73,0.74,0.73
ER_n006_p010_r00,6,0.1,0,baseline,28,0.28,0.27,0.28,0.72,0.73,0.72
ER_n006_p010_r00,6,0.1,0,baseline,29,0.29,0.28,0.29,0.71,0.72,0.71
ER_n006_p010_r00,6,0.1,0,baseline,30,0.3,0.29,0.3,0.7,0.71,0.7
ER_n006_p010_r00,6,0.1,0,baseline,31,0.31,0.3,0.31,0.69,0.7,0.69
ER_n006_p010_r00,6,0.1,0,baseline,32,0.32,0.31,0.32,0.6799999999999999,0.69,0.6799999999999999
ER_n006_p010_r00,6,0.1,0,baseline,33,0.33,0.32,0.33,0.6699999999999999,0.6799999999999999,0.6699999999999999
ER_n006_p010_r00,6,0.1,0,baseline,34,0.34,0.33,0.34,0.6599999999999999,0.6699999999999999,0.6599999999999999
ER_n006_p010_r00,6,0.1,0,baseline,35,0.35,0.34,0.35,0.65,0.6599999999999999,0.65
ER_n006_p010_r00,6,0.1,0,baseline,36,0.36,0.35,0.36,0.64,0.65,0.64
ER_n006_p010_r00,6,0.1,0,baseline,37,0.37,0.36,0.37,0.63,0.64,0.63
ER_n006_p010_r00,6,0.1,0,baseline,38,0.38,0.37,0.38,0.62,0.63,0.62
ER_n006_p010_r00,6,0.1,0,baseline,39,0.39,0.38,0.39,0.61,0.62,0.61
ER_n006_p010_r00,6,0.1,0,baseline,40,0.4,0.39,0.4,0.6,0.61,0.6
ER_n006_p010_r00,6,0.1,0,baseline,41,0.41,0.4,0.41,0.5900000000000001,0.6,0.5900000000000001
ER_n006_p010_r00,6,0.1,0,baseline,42,0.42,0.41,0.42,0.5800000000000001,0.5900000000000001,0.5800000000000001
ER_n006_p010_r00,6,0.1,0,baseline,43,0.43,0.42,0.43,0.5700000000000001,0.5800000000000001,0.5700000000000001
ER_n006_p010_r00,6,0.1,0,baseline,44,0.44,0.43,0.44,0.56,0.5700000000000001,0.56
