instance_id,n,p,replicate,qubit,c_i,theta_i
ER_n006_p010_r00,6,0.1,0,0,0.999999,3.13959265325652
ER_n006_p010_r00,6,0.1,0,1,0.999999,3.13959265325652
ER_n006_p010_r00,6,0.1,0,2,1e-06,0.0020000003333334833
ER_n006_p010_r00,6,0.1,0,3,1e-06,0.0020000003333334833
ER_n006_p010_r00,6,0.1,0,4,1e-06,0.0020000003333334833
ER_n006_p010_r00,6,0.1,0,5,1e-06,0.0020000003333334833
ER_n006_p010_r01,6,0.1,1,0,1.45746061652661e-06,0.0024145072578818033
ER_n006_p010_r01,6,0.1,1,1,1.4574606162174472e-06,0.0024145072576257157
ER_n006_p010_r01,6,0.1,1,2,0.999999,3.13959265325652
ER_n006_p010_r01,6,0.1,1,3,0.5000010487741154,1.5707984243431274
ER_n006_p010_r01,6,0.1,1,4,1.4574606157927083e-06,0.002414507257273893
ER_n006_p010_r01,6,0.1,1,5,0.5000010487741112,1.570798424343119
ER_n006_p010_r02,6,0.1,2,0,1e-06,0.0020000003333334833
ER_n006_p010_r02,6,0.1,2,1,0.33333374572949137,1.2309602921649991
ER_n006_p010_r02,6,0.1,2,2,0.33333374572997865,1.2309602921660328
ER_n006_p010_r02,6,0.1,2,3,0.999999,3.13959265325652
ER_n006_p010_r02,6,0.1,2,4,1e-06,0.0020000003333334833
ER_n006_p010_r02,6,0.1,2,5,0.33333374572933644,1.2309602921646703
ER_n006_p010_r03,6,0.1,3,0,1.4574606118969456e-06,0.002414507254046927
ER_n006_p010_r03,6,0.1,3,1,0.999999,3.13959265325652
ER_n006_p010_r03,6,0.1,3,2,1.4574606114539827e-06,0.0024145072536800086
ER_n006_p010_r03,6,0.1,3,3,1.4574606099233722e-06,0.002414507252412162
ER_n006_p010_r03,6,0.1,3,4,0.5000010487742008,1.5707984243432984
ER_n006_p010_r03,6,0.1,3,5,0.5000010487740398,1.5707984243429762
ER_n006_p010_r04,6,0.1,4,0,0.27223247617518676,1.097823175008962
ER_n006_p010_r04,6,0.1,4,1,1e-06,0.0020000003333334833
ER_n006_p010_r04,6,0.1,4,2,0.7277674884541858,2.0437693991157277
ER_n006_p010_r04,6,0.1,4,3,0.27223247617674373,1.0978231750124603
ER_n006_p010_r04,6,0.1,4,4,1e-06,0.0020000003333334833
ER_n006_p010_r04,6,0.1,4,5,0.7277674884526288,2.0437693991122297
ER_n006_p010_r05,6,0.1,5,0,0.16666673387439673,0.8410688509051794
ER_n006_p010_r05,6,0.1,5,1,0.16666673387439218,0.8410688509051671
ER_n006_p010_r05,6,0.1,5,2,0.1666667338745066,0.8410688509054741
ER_n006_p010_r05,6,0.1,5,3,0.16666673387438993,0.8410688509051611
ER_n006_p010_r05,6,0.1,5,4,0.166666733874512,0.8410688509054887
ER_n006_p010_r05,6,0.1,5,5,0.16666673387441336,0.841068850905224
ER_n006_p010_r06,6,0.1,6,0,0.16666673387439673,0.8410688509051794
ER_n006_p010_r06,6,0.1,6,1,0.16666673387439218,0.8410688509051671
ER_n006_p010_r06,6,0.1,6,2,0.1666667338745066,0.8410688509054741
ER_n006_p010_r06,6,0.1,6,3,0.16666673387438993,0.8410688509051611
ER_n006_p010_r06,6,0.1,6,4,0.166666733874512,0.8410688509054887
ER_n006_p010_r06,6,0.1,6,5,0.16666673387441336,0.841068850905224
ER_n006_p010_r07,6,0.1,7,0,0.5000010487740937,1.570798424343084
ER_n006_p010_r07,6,0.1,7,1,0.999999,3.13959265325652
ER_n006_p010_r07,6,0.1,7,2,1.4574606563542214e-06,0.0024145072908720957
ER_n006_p010_r07,6,0.1,7,3,1.4574606572533178e-06,0.0024145072916168415
ER_n006_p010_r07,6,0.1,7,4,0.5000010487741434,1.5707984243431834
ER_n006_p010_r07,6,0.1,7,5,1.4574606564561262e-06,0.002414507290956506
ER_n006_p010_r08,6,0.1,8,0,1e-06,0.0020000003333334833
ER_n006_p010_r08,6,0.1,8,1,1e-06,0.0020000003333334833
ER_n006_p010_r08,6,0.1,8,2,1e-06,0.0020000003333334833
ER_n006_p010_r08,6,0.1,8,3,1e-06,0.0020000003333334833
ER_n006_p010_r08,6,0.1,8,4,0.999999,3.13959265325652
ER_n006_p010_r08,6,0.1,8,5,0.999999,3.13959265325652
ER_n006_p010_r09,6,0.1,9,0,0.16666673387439673,0.8410688509051794
ER_n006_p010_r09,6,0.1,9,1,0.16666673387439218,0.8410688509051671
ER_n006_p010_r09,6,0.1,9,2,0.1666667338745066,0.8410688509054741
ER_n006_p010_r09,6,0.1,9,3,0.16666673387438993,0.8410688509051611
ER_n006_p010_r09,6,0.1,9,4,0.166666733874512,0.8410688509054887
ER_n006_p010_r09,6,0.1,9,5,0.16666673387441336,0.841068850905224
ER_n006_p030_r00,6,0.3,0,0,0.999999,3.13959265325652
ER_n006_p030_r00,6,0.3,0,1,1e-06,0.0020000003333334833
ER_n006_p030_r00,6,0.3,0,2,0.999999,3.13959265325652
ER_n006_p030_r00,6,0.3,0,3,1e-06,0.0020000003333334833
ER_n006_p030_r00,6,0.3,0,4,1e-06,0.0020000003333334833
ER_n006_p030_r00,6,0.3,0,5,0.999999,3.13959265325652
ER_n006_p030_r01,6,0.3,1,0,0.7367827179052292,2.0641308615272917
ER_n006_p030_r01,6,0.3,1,1,0.3112553943823587,1.1837129277696532
ER_n006_p030_r01,6,0.3,1,2,0.3774903134438482,1.3232566521052718
ER_n006_p030_r01,6,0.3,1,3,1e-06,0.0020000003333334833
ER_n006_p030_r01,6,0.3,1,4,0.26321736632454334,1.0774619833289045
ER_n006_p030_r01,6,0.3,1,5,0.31125539438240757,1.1837129277697587
ER_n006_p030_r02,6,0.3,2,0,1e-06,0.0020000003333334833
ER_n006_p030_r02,6,0.3,2,1,0.999999,3.13959265325652
ER_n006_p030_r02,6,0.3,2,2,1e-06,0.0020000003333334833
ER_n006_p030_r02,6,0.3,2,3,1e-06,0.0020000003333334833
ER_n006_p030_r02,6,0.3,2,4,1e-06,0.0020000003333334833
ER_n006_p030_r02,6,0.3,2,5,0.999999,3.13959265325652
ER_n006_p030_r03,6,0.3,3,0,1e-06,0.0020000003333334833
ER_n006_p030_r03,6,0.3,3,1,0.999999,3.13959265325652
ER_n006_p030_r03,6,0.3,3,2,0.3333337457290926,1.2309602921641531
ER_n006_p030_r03,6,0.3,3,3,1e-06,0.0020000003333334833
