overall,metric,count,mean,median,std,iqr,q25,q75,improvement_rate,wilcoxon_p_value,n,p
all,delta_energy,120,-0.407048965628813,-0.3474540768768237,0.3060115590056969,0.34934398295264324,-0.5538221121449072,-0.2044781291922639,0.975,1.845428746694392e-21,,
all,delta_energy_variance,120,-0.3073375149630929,-0.28783228968326374,0.19499977840241864,0.23197789414602496,-0.41772573925065587,-0.1857478451046309,0.975,1.5106832901830169e-21,,
all,delta_p_ground,120,0.3083902460162022,0.2614867534643194,0.22011104185357208,0.27330575918787514,0.15625634250810042,0.4295621016959756,0.9666666666666667,1.988999471943399e-21,,
all,delta_expected_feasible_energy,120,-0.3438404614875782,-0.2829756031059326,0.2798940479579297,0.32528753228276963,-0.47477246288939307,-0.14948493060662346,0.925,6.708079902321748e-21,,
all,delta_feasible_energy_variance,120,-0.22467254023943972,-0.2219000330508576,0.15850408635132782,0.2114693045285584,-0.3299104285935908,-0.11844112406503243,0.9166666666666666,1.044199266901131e-20,,
all,delta_p_feas,120,0.042562037123837666,0.032497969298553295,0.03938141531043122,0.024318526258804297,0.023131376068239076,0.047449902327043374,0.9833333333333333,1.4012162987576293e-21,,
,delta_energy,40,-0.2904497844861101,-0.25505118342366195,0.23967754464015645,0.4313369126057509,-0.5101235225577249,-0.07878660995197392,0.95,3.263884185581742e-08,6.0,
,delta_energy_variance,40,-0.2245335259822908,-0.22430637887536853,0.16260975432462166,0.31758026482147217,-0.39407556312968184,-0.07649529830820966,0.95,2.809356085186548e-08,6.0,
,delta_p_ground,40,0.2481265890269432,0.2196817293677018,0.20422351264555647,0.3590074270309529,0.07055467466502267,0.4295621016959756,0.95,3.262773375613261e-08,6.0,
,delta_expected_feasible_energy,40,-0.2534469595873686,-0.22823209873476485,0.22273952051502846,0.37816567329992323,-0.4542300039040842,-0.07606433060416093,0.825,1.875737733129031e-07,6.0,
,delta_feasible_energy_variance,40,-0.17980218926522396,-0.1830093144878428,0.13841567201164304,0.2555962612722803,-0.32161943868426357,-0.0660231774119833,0.875,8.523317324718921e-08,6.0,
,delta_p_feas,40,0.027806182966095418,0.02533511788315035,0.015208451175199733,0.02232169429174955,0.018479740755196726,0.04080143504694628,0.975,1.9227826371547776e-08,6.0,
,delta_energy,40,-0.3983407764605106,-0.3474540768768237,0.2799673852937128,0.30536024617079466,-0.519610768916045,-0.2142505227452503,0.975,6.366462912410498e-12,9.0,
,delta_energy_variance,40,-0.29109180842250515,-0.32506483608404846,0.14050397720451668,0.19761121709210272,-0.3916459843175348,-0.19403476722543206,0.975,2.7284841053187847e-12,9.0,
,delta_p_ground,40,0.3175640005435045,0.27362476875755404,0.22518598994227174,0.2261961856927627,0.1719273620595664,0.3981235477523291,0.95,9.094947017729282e-12,9.0,
,delta_expected_feasible_energy,40,-0.35394535045068726,-0.30328696291644475,0.2666940850685501,0.2921609543558187,-0.47130274672594896,-0.17914179237013028,0.95,1.7280399333685637e-11,9.0,
,delta_feasible_energy_variance,40,-0.2328615089390235,-0.2569812835586421,0.12436572206297732,0.16208070562945087,-0.3179502578293626,-0.15586955219991172,0.95,1.2732925824820995e-11,9.0,
,delta_p_feas,40,0.032445658994542846,0.0316735979322507,0.016301233033051157,0.02453077529118385,0.019080476751053174,0.04361125204223702,1.0,9.094947017729282e-13,9.0,
