instance_id,path,n,p,replicate,num_edges,density_realized,T,N_steps,dt,angle_scale,common_time,sdp_time,base_simulation_time,warm_simulation_time,sdp_status,sdp_solver,sdp_objective,sdp_solver_time,sdp_num_iters,clip_eps,warm_c_min,warm_c_max,warm_c_mean,warm_c_std,base_max_norm_deviation,base_raw_max_norm_deviation,warm_max_norm_deviation,warm_raw_max_norm_deviation,evolution_method,warm_mixer_type,ode_method,ode_rtol,ode_atol,base_final_expected_energy,base_energy_variance,base_ground_energy,base_ground_state_probability,base_expected_feasible_energy,base_feasible_energy_variance,base_feasibility_probability,warm_final_expected_energy,warm_energy_variance,warm_ground_energy,warm_ground_state_probability,warm_expected_feasible_energy,warm_feasible_energy_variance,warm_feasibility_probability,delta_energy,delta_energy_variance,delta_expected_feasible_energy,delta_feasible_energy_variance,delta_p_ground,delta_p_feas
ER_n006_p010_r00,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n006_p010_r00.edgelist,6,0.1,0,1,0.06666666666666667,10.0,100,0.1,1.0,0.0006457999988924712,1.3591147999977693,0.1400844000163488,0.29603060000226833,optimal,SCS,-2.000019127065742,0.0039951,150,1e-06,1e-06,0.999999,0.33333366666666664,0.5163967466987632,2.220446049250313e-16,9.339196083146817e-13,2.220446049250313e-16,5.3734794391857577e-14,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.3113278419360634,0.3940757483412927,-2.0,0.4005786284473146,-1.377167873331359,0.32161952479932043,0.952575854294758,-1.9999998808524844,1.8521161074779792e-07,-2.0,0.9999999028739802,-1.9999999138849394,8.611505687234036e-08,0.9999999889890381,-0.6886720389164209,-0.39407556312968195,-0.6228320405535803,-0.32161943868426357,0.5994212744266656,0.047424134694280085
ER_n006_p010_r01,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n006_p010_r01.edgelist,6,0.1,1,2,0.13333333333333333,10.0,100,0.1,1.0,0.0007326999912038445,0.03265290000126697,0.14054120000218973,0.2610634000157006,optimal,SCS,-2.0000171382485497,0.0071497,225,1e-06,1.4574606157927083e-06,0.999999,0.33333424498834585,0.40824742112255785,2.220446049250313e-16,8.260059303211165e-13,2.220446049250313e-16,6.916689443414725e-14,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.6126796427740606,0.3287211203990717,-2.0,0.6576683284165231,-1.6800870701852004,0.25926989119125327,0.9382693151339222,-1.927208982245674,0.06749257974361704,-2.0,0.9272090218078453,-1.9622299238886378,0.03634350071442866,0.9636044330170727,-0.3145293394716133,-0.26122854065545464,-0.2821428537034374,-0.2229263904768246,0.26954069339132214,0.02533511788315046
ER_n006_p010_r02,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n006_p010_r02.edgelist,6,0.1,2,3,0.2,10.0,100,0.1,1.0,0.001097499975003302,0.042488899984164163,0.12860480000381358,0.25838610000209883,optimal,SCS,-2.000015731242084,0.0180651,400,1e-06,1e-06,0.999999,0.33333370619813435,0.36514764137336997,3.3306690738754696e-16,7.16093850883226e-13,2.220446049250313e-16,9.015010959956271e-14,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.7676176530148315,0.21762847031912896,-2.0,0.7865505248852225,-1.8467485120886793,0.14653015860871835,0.9198013598884099,-1.9056157823354436,0.08559862263813103,-2.0,0.9056464857813435,-1.9418859682514573,0.05473679606697831,0.9615245516998546,-0.13799812932061206,-0.13202984768099793,-0.09513745616277802,-0.09179336254174003,0.11909596089612107,0.04172319181144468
ER_n006_p010_r03,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n006_p010_r03.edgelist,6,0.1,3,2,0.13333333333333333,10.0,100,0.1,1.0,0.0009404000011272728,0.02988230000482872,0.12251219997415319,0.3194413000019267,optimal,SCS,-2.0000171382484733,0.0065532,225,1e-06,1.4574606099233722e-06,0.999999,0.3333342449883457,0.40824742112256146,2.220446049250313e-16,8.260059303211165e-13,2.220446049250313e-16,6.927791673660977e-14,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.6126796427740602,0.3287211203990718,-2.0,0.6576683284165229,-1.6800870701852004,0.25926989119125327,0.9382693151339219,-1.927208982245674,0.06749257974361683,-2.0,0.9272090218078448,-1.9622299238886378,0.03634350071442854,0.9636044330170722,-0.31452933947161377,-0.261228540655455,-0.2821428537034374,-0.22292639047682472,0.2695406933913219,0.02533511788315035
ER_n006_p010_r04,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n006_p010_r04.edgelist,6,0.1,4,3,0.2,10.0,100,0.1,1.0,0.0005396000051405281,0.03312540001934394,0.10800130001734942,0.23782389998086728,optimal,SCS,-2.0000174518936,0.0120197,475,1e-06,1e-06,0.7277674884541858,0.33333365487645755,0.3288902929037499,2.220446049250313e-16,7.16537940093076e-13,2.220446049250313e-16,9.681144774731365e-14,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.7366391740576028,0.24601259476659182,-2.0,0.762097971259486,-1.8059450720366936,0.17922770942830307,0.9323894723140294,-1.9410249537025828,0.05675839159561591,-2.0,0.9416381619190658,-1.9707852549651066,0.028858762003743658,0.9697272682862332,-0.20438577964497995,-0.1892542031709759,-0.16484018292841296,-0.15036894742455942,0.17954019065957982,0.03733779597220388
ER_n006_p010_r05,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n006_p010_r05.edgelist,6,0.1,5,0,0.0,10.0,100,0.1,1.0,0.0007664999866392463,0.03695390000939369,0.11062210000818595,0.23234339998452924,optimal,SCS,-0.9999997205544159,0.0144335,425,1e-06,0.16666673387438993,0.166666733874512,0.16666673387443512,5.80542389901655e-14,3.3306690738754696e-16,1.0405010186786967e-12,2.220446049250313e-16,1.4277468096679513e-13,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-0.8520308719654203,0.1266076352619828,-1.0,0.8521638364038161,-0.9201987964013518,0.07343297150285519,0.9260649326389014,-0.8758877844907672,0.10913447778532179,-1.0,0.8759942477045448,-0.9189206815832532,0.07450546254182237,0.9532860292090191,-0.02385691252534694,-0.017473157476661005,0.0012781148180985857,0.0010724910389671855,0.023830411300728715,0.02722109657011762
ER_n006_p010_r06,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n006_p010_r06.edgelist,6,0.1,6,0,0.0,10.0,100,0.1,1.0,0.0005707000091206282,0.034926399996038526,0.11329680000199005,0.22282349999295548,optimal,SCS,-0.9999997205544159,0.0122764,425,1e-06,0.16666673387438993,0.166666733874512,0.16666673387443512,5.80542389901655e-14,3.3306690738754696e-16,1.0405010186786967e-12,2.220446049250313e-16,1.4277468096679513e-13,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-0.8520308719654203,0.1266076352619828,-1.0,0.8521638364038161,-0.9201987964013518,0.07343297150285519,0.9260649326389014,-0.8758877844907672,0.10913447778532179,-1.0,0.8759942477045448,-0.9189206815832532,0.07450546254182237,0.9532860292090191,-0.02385691252534694,-0.017473157476661005,0.0012781148180985857,0.0010724910389671855,0.023830411300728715,0.02722109657011762
ER_n006_p010_r07,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n006_p010_r07.edgelist,6,0.1,7,2,0.13333333333333333,10.0,100,0.1,1.0,0.0005932000058237463,0.02579789998708293,0.1117106000019703,0.22640040001715533,optimal,SCS,-2.000017138248346,0.0050899000000000005,225,1e-06,1.4574606563542214e-06,0.999999,0.3333342449883679,0.4082474211225389,2.220446049250313e-16,8.257838857161914e-13,2.220446049250313e-16,6.927791673660977e-14,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.6126796427740606,0.3287211203990714,-2.0,0.657668328416523,-1.6800870701852002,0.2592698911912532,0.9382693151339223,-1.92720898224567,0.06749257974362342,-2.0,0.9272090218078417,-1.9622299238886365,0.03634350071442943,0.9636044330170701,-0.3145293394716093,-0.261228540655448,-0.2821428537034363,-0.22292639047682378,0.2695406933913187,0.025335117883147795
ER_n006_p010_r08,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n006_p010_r08.edgelist,6,0.1,8,1,0.06666666666666667,10.0,100,0.1,1.0,0.0008456000068690628,0.02576520000002347,0.11043500000960194,0.2267398999829311,optimal,SCS,-2.0000191270657623,0.0036897,150,1e-06,1e-06,0.999999,0.33333366666666664,0.5163967466987632,3.3306690738754696e-16,9.339196083146817e-13,2.220446049250313e-16,5.262457136723242e-14,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-1.3113278419360639,0.3940757483412925,-2.0,0.4005786284473149,-1.3771678733313595,0.3216195247993205,0.9525758542947581,-1.9999998808524835,1.852116107477842e-07,-2.0,0.9999999028739798,-1.9999999138849396,8.61150568723403e-08,0.9999999889890375,-0.6886720389164196,-0.3940755631296817,-0.6228320405535801,-0.3216194386842636,0.5994212744266649,0.04742413469427942
ER_n006_p010_r09,C:\Users\Gebruiker\Desktop\MSc E&OR\Master Thesis\Formulations Repository\ER_instances\ER_n006_p010_r09.edgelist,6,0.1,9,0,0.0,10.0,100,0.1,1.0,0.0005341999931260943,0.033849700004793704,0.11216590000549331,0.2297349000000395,optimal,SCS,-0.9999997205544159,0.0118346,425,1e-06,0.16666673387438993,0.166666733874512,0.16666673387443512,5.80542389901655e-14,3.3306690738754696e-16,1.0405010186786967e-12,2.220446049250313e-16,1.4277468096679513e-13,continuous_ode_linear_schedule,warm_start_mixer,DOP853,1e-08,1e-10,-0.8520308719654203,0.1266076352619828,-1.0,0.8521638364038161,-0.9201987964013518,0.07343297150285519,0.9260649326389014,-0.8758877844907672,0.10913447778532179,-1.0,0.8759942477045448,-0.9189206815832532,0.07450546254182237,0.9532860292090191,-0.02385691252534694,-0.017473157476661005,0.0012781148180985857,0.0010724910389671855,0.023830411300728715,0.02722109657011762
